YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,図表1,図表2,詳細説明(技術者用),Notes
,,,0011_0000,Transmission process time over,Serial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,0100_0000,Reception process time over,Serial transmission error,"(1)Replace the transmission cable.
(2)Replace JANCD-YCP02.",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
,,,,,,,,,,Laser tracking
5012,SYSTEM ERROR(COMARC),System error occurred in the sensor process of COMARC Function.,0,System task mail send error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,1,System task mail receive error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,2,Sensing task mail send error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,3,Sensing task mail receive error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,4,Transmission task mail send error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,5,Transmission task mail receive error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,6,Transmission task create error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,7,Sensing task mail token get error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
5013,SYSTEM ERROR(COMARC),Data error occurred in the sensor process of COMARC Function.,0,Main command processing error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,1,Main command data error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,2,Sub command data error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,3,Sensor bank get error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,4,Measured welding current error,Software operation error occurred,"(1)Reset the alarm, and then try again.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
,,,5,Input parameter error,Setting error,"(1) SxE202 needs to be set only when the scale conversion of the measured value used by the digital COMARC function for sensing is required. Enter 0 for SxE202 if you do not need to scale the measurements. If scale conversion of the measured value is required, enter the M register number in SxE202 that stores the measurements used by the digital COMARC function for sensing.
(2) When the set value of SxE202 is other than 0, the set value of SxE200 and SxE201 is used to perform scale conversion of the measured value used by the digital COMARC function for sensing. Enter the minimum measured value in SxE200 and the maximum measured value in SxE201.
(3)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
5019,ARITHMETIC ERROR(SENSOR),An error occurred in the arithmetic process for coordinates in gauging motion.,,It is the kind of error of arithmetic process for coordinates.,Software operation error occurred,"(1)When another alarm has occurred at the same time, Take the measures of it, 
(2)When another alarm has not occurred at the same time, Reset the alarm, and then try again.
(3)If the alarm occurs again, save the CMOS.BIN , and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Bendling
5020,VERIFY ERROR (SENSOR PARAMETER),Calc err is occurred when calc parameter at conveyor condition file.,0,USED STATUS is err at condition file1.,Setting error,Check USED STATUS at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,1,PORT NO. is err at condition file1.,Setting error,Check PORT NO. at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,2,BROKEN LINE DETECT is err at condition file1.,Setting error,Check BROKEN LINE DETECT at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,3,ENCODER INPUT is err at condition file1.,Setting error,Check ENCODER INPUT at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,4,ENCODER SIGN is err at condition file1.,Setting error,Check ENCODER SIGN at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,5,CORRECTION is err at condition file1.,Setting error,Check CORRECTION at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,6,VIRTUAL CV SPEED is err at condition file1.,Setting error,Check VIRTUAL CV SPEED at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,7,AVERAGE TRAVEL TIME is err at condition file1.,Setting error,Check AVERAGE TRAVEL TIME at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,8,POS RESOLUTION is err at condition file1.,Setting error,Check POS RESOLUTION at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,9,PERMIT CV QUE is err at condition file1.,Setting error,Check PERMIT CV QUE at condition file1.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,40,"Wrong value is set to Sensor parameter, SxE040.
Laser tracking: Analog output signal number for Gap ratio condition control is wrong. ","Wrong value is set to Sensor parameter, SxE***.","[Laser tracking]
Set correct value,1-12, to Analog output signal number for Gap ratio condition control parameter, SxE040. And check not to set same value to the other, SxE040-043. (To be developed in the future)",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,41,"Wrong value is set to Sensor parameter, SxE041.
Laser tracking:Analog output signal number for Gap ratio condition control is wrong. ","Wrong value is set to Sensor parameter, SxE***.","[Laser tracking]
Set correct value,1-12, to Analog output signal number for Gap ratio condition control parameter, SxE041. And check not to set same value to the other, SxE040-043. (To be developed in the future)",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,42,"Wrong value is set to Sensor parameter, SxE042.
Laser tracking:Analog output signal number for Gap ratio condition control is wrong. ","Wrong value is set to Sensor parameter, SxE***.","[Laser tracking]
Set correct value,1-12, to Analog output signal number for Gap ratio condition control parameter, SxE042. And check not to set same value to the other, SxE040-043. (To be developed in the future)",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,43,"Wrong value is set to Sensor parameter, SxE043.
Laser tracking:Analog output signal number for Gap ratio condition control is wrong. ","Wrong value is set to Sensor parameter, SxE***.","[Laser tracking]
Set correct value,1-12, to Analog output signal number for Gap ratio condition control parameter, SxE043. And check not to set same value to the other, SxE040-043. (To be developed in the future)",,,,Laser tracking
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Laser tracking
,,,100,USED STATUS is err at condition file2.,Setting error,Check PORT NO. at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,101,PORT NO. is err at condition file2.,Setting error,Check PORT NO. at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,102,BROKEN LINE DETECT is err at condition file2.,Setting error,Check BROKEN LINE DETECT at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,103,ENCODER INPUT is err at condition file2.,Setting error,Check ENCODER INPUT at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,104,ENCODER SIGN is err at condition file2.,Setting error,Check ENCODER SIGN at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,105,CORRECTION is err at condition file2.,Setting error,Check CORRECTION at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,106,VIRTUAL CV SPEED is err at condition file2.,Setting error,Check VIRTUAL CV SPEED at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
,,,107,AVERAGE TRAVEL TIME is err at condition file2.,Setting error,Check AVERAGE TRAVEL TIME at condition file2.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
