YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),Notes
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,21,The SRDY signal did not turn ON after the WRITE PROTECT command was written. (EEPROM WRITE PROTECT error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,22,The SRDY signal did not turn ON after the ERASE command was written. (EEPROM ERASE error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,23,The SRDY signal did not turn ON after the CLEAR command was written. (EEPROM CLEAR error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,24,The SRDY signal did not turn ON after data were written. (EEPROM writing error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,25,The SRDY signal did not turn ON after data were read. (EEPROM reading error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,26,The written data were rejected at verification. (EEPROM verify error),SDCA01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the SDCA01 board. Save the CMOS.BIN before replace the board to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
1003,ROM ERROR(ACP02),,,,ACP02 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,COMARC
1020,MotoPlus (APPLICATION LOAD ERROR),Failed at loading MotoPlus application.,1,Number of the Application files on the ACP01 board SD card is over the limit. ,Setting error,"Delete unnecessary application files ""*.out"" by MotoPlus menu in the maintenance mode in order not to exceed the file number limitation. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,2,"Insufficient memory space.
At the loading time, remaining CPU memory is less than 2MByte (Stipulated memory size for MotoPlus) .",Setting error,"Under current system configuration and option function combination, there is not enough memory to run MotoPlus application.  If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).
It may be necessary to replace the ACP01 board with the one with larger memory.",,,,MotoPlus
,,,3,"MotoPlus application folder ""/Application""cannot be found.",Setting error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD card from the failure ACP01 board to insert it into the new ACP01 board.",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,4,Memory size (Code area + static variable area)  required by MotoPlus Application is over the limit(2Mbyte).  ,Setting error,"(1) Check the static memory definition of the application program.
(2) Redesign the application program in order not to exceed the memory size limitation. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,5,Undefined symbols are included in the application. The Symbols are not included in the MotoPlus API library or standard function library.,Setting error,Check that the application program doesn't include any undefined symbols such as function and constant that are not provided by the system.,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,6,Load failure (The application cannot be loaded since the memory (program area + static variable area) that the MotoPlus application requires exceeds the specified value (2MByte) .) ,Setting error,"(1)Check if the static variables are correctly defined in the MotoPlus application. 
(2)Review the MotoPlus application program so that the memory used for it doesn't exceed the specified value. 
(3)Check if the object files are correctly created by MotoPlusIDE. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,7,"API library initialization failure because of 
Insufficient system memory to load MotoPlus API library ",Setting error,"Under current system configuration and the combination of optional functions, the ACP01 board (Main CPU board) doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the ACP01 board to the one with a large-capacity memory. ",,,,MotoPlus
,,,8,"User root task ""mpUsrRoot()"" not included in the application",Setting error,Check if mpUsrRoot() is described in the application program. ,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,9,User root task generation failure,Setting error,"Under current system configuration and the combination of optional functions, the ACP01 board (Main CPU board) doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the ACP01 board to the one with a large-capacity memory. ",,,,MotoPlus
,,,10,RAM-Disk generation failure,Setting error,"Under current system configuration and the combination of optional functions, the ACP01 board (Main CPU board) doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the ACP01 board to the one with a large-capacity memory. ",,,,MotoPlus
,,,16,Same name application files exist.,Setting error,Delete the same name application file.,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
1030,MEMORY ERROR(PARAMETER FILE),This alarm occurs when an error is detected during total check of parameters.,0,"RCD, RCxG parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,1,ROxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,2,"SVD, SVxG parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,3,SVMxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,4,"S1CxG, S2C, S3C, S4C parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,5,"S1D, S2D, S3D, S4D parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,6,CIO parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,7,FD parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,8,"A1P, A2P, ..., A8P parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,9,RS parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,10,"S1E, S2E, ..., S8E parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,11,SVCxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,12,AMCxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,13,SVPxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,14,MFxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,15,SVSxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,16,RExG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,17,FMSxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP01 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the ACP01 board. Save the CMOS.BIN before replace the board to be safe.  Replace the ACP01 board, and then remove the SD from the failure ACP01 board to insert it into the new ACP01 board.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
1031,MEMORY ERROR(MOTION1),Data error occurred in the file data used by MOTION section.,0,"""GET FILE"" instruction, ""SET FILE"" instruction execution target file ",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,1,Home position calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,2,Tool file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,3,User coordinates file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,4,Robot calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,5,Tool calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,6,Weaving amplitude condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,7,Home position correction data file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,8,Conveyor calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,9,Arm and tool interference prevention file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,20,Weaving file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,21,Power Source condition data file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,22,Welding condition auxiliary file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,23,Arc start condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,24,Arc end condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,25,COMARC condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,26,COMARC data file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,27,Path correction condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,28,Painting characteristics file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,29,Painting condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,30,Multi-layer index file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
