YRC1000micro,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),”őŤl
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,17,A checksum error occurred in the board or the EEPROM.(*: axis No.),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,18,A checksum error occurred in the board or the EEPROM.(*: axis No.),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,20,The SRDY signal did not turn ON after the WRITE ENABLE command was written. (EEPROM WRITE ENABLE error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,21,The SRDY signal did not turn ON after the WRITE PROTECT command was written. (EEPROM WRITE PROTECT error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,22,The SRDY signal did not turn ON after the ERASE command was written. (EEPROM ERASE error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,23,The SRDY signal did not turn ON after the CLEAR command was written. (EEPROM CLEAR error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,24,The SRDY signal did not turn ON after data were written. (EEPROM writing error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,25,The SRDY signal did not turn ON after data were read. (EEPROM reading error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
,,,26,The written data were rejected at verification. (EEPROM verify error),ACP31 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.
",,,,SERVO
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SERVO
1020,MotoPlus (APPLICATION LOAD ERROR),Failed at loading MotoPlus application.,1,"The number of the Application files ""*.OUT"" in the SD card of controller is over the limit. ",Setting error,"Delete unnecessary application files ""*.out"" by MotoPlus menu in the maintenance mode in order not to exceed the file number limitation. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,2,"Insufficient memory space.
At the loading time, remaining CPU memory is less than 2MByte (Stipulated memory size for MotoPro) .",Setting error,"Under current system configuration and option function combination, there is not enough memory to run MotoPlus application.  If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).
It may be necessary to replace the controller with the one with larger memory.",,,,MotoPlus
,,,3,"MotoPlus application folder ""/Application""cannot be found.",Setting error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,4,Memory size  (Code area + static variable area)  required by MotoPlus Application is over the limit(2Mbyte).  ,Setting error,"(1)Check the static memory definition of the application program.
(2)Redesign the application program in order not to exceed the memory size limitation. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,5,Undefined symbols are included in the application. The Symbols are not included in the MotoPlusAPI library or standard function library.,Setting error,Check that the application program doesn't include any undefined symbols such as function and constant that are not provided by the system.,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,6,Load failure (The application cannot be loaded since the memory (program area + static variable area) that the MotoPlus application requires exceeds the specified value (2MByte) .) ,Setting error,"(1)Check if the static variables are correctly defined in the MotoPlus application. 
(2)Review the MotoPlus application program so that the memory used for it doesn't exceed the specified value. 
(3)Check if the object files are correctly created by MotoPlusIDE. ",,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,7,"API library initialization failure because of 
Insufficient system memory to load MotoPlusAPI library ",Setting error,"Under current system configuration and the combination of optional functions, controller doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the controller to the one with a large-capacity memory. ",,,,MotoPlus
,,,8,"User root task ""mpUsrRoot()"" not included in the application",Setting error,Check if mpUsrRoot() is described in the application program. ,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
,,,9,User root task generation failure,Setting error,"Under current system configuration and the combination of optional functions, the controller doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the controller to the one with a large-capacity memory. ",,,,MotoPlus
,,,10,RAM-Disk generation failure,Setting error,"Under current system configuration and the combination of optional functions, the controller doesn't have enough memory to run MotoPlus application. If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure). It may be necessary to change the controller to the one with a large-capacity memory. ",,,,MotoPlus
,,,16,Same name application files exist.,Setting error,Delete the same name application file.,,,,MotoPlus
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MotoPlus
1030,MEMORY ERROR(PARAMETER FILE),This alarm occurs when an error is detected during total check of parameters.,0,"RCD, RCxG parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,1,ROxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,2,"SVD, SVxG parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,3,SVMxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,4,"S1CxG, S2C, S3C, S4C parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,5,"S1D, S2D, S3D, S4D parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,6,CIO parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,7,FD parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,8,"A1P, A2P, ..., A8P parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,9,RS parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,10,"S1E, S2E, ..., S8E parameter error",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,11,SVCxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,12,AMCxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,13,SVPxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,14,MFxG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,15,SVSxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,16,RExG parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
,,,17,FMSxB parameter error,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate parameter file in maintenance mode, and then load the parameter file saved in the external memory device.",,,,SYSCON
,,,,,ACP30 board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the controller. Save the CMOS.BIN before replacement to be safe.",,,,SYSCON
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,SYSCON
1031,MEMORY ERROR(MOTION1),Data error occurred in the file data used by MOTION section.,0,"""GET FILE"" instruction, ""SET FILE"" instruction execution target file ",Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,1,Home position calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,2,Tool file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,3,User coordinates file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,4,Robot calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,5,Tool calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,6,Weaving amplitude condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,7,Home position correction data file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,8,Conveyor calibration file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,9,Arm and tool interference prevention file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,20,Weaving file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,27,Path correction condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,32,Sensor monitoring condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,34,Conveyor condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,36,Servo float condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,42,Anticipation OT# output file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,43,Anticipation OG# output file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,44,Handling condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,45,Form cut file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,47,Linear servo float condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,48,Macro definition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,53,Job registration table,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,64,Conveyor condition auxiliary file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,67,Palletizing condition file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,69,Mastering registration position,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,91,Svclamp file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
,,,93,Tool confirmation file,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data in maintenance mode, and then load the data saved in the external memory device.",,,,MOTION
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your Yaskawa representative about occurrence status (operating procedure).",,,,MOTION
1033,"MEMORY ERROR(MODEL DATA
 FILE)",The modele data file is abnormal.,,Sub;Model file number,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data, and then load the data saved in the external memory device.",,,,(R‹ZA2)
1034,MEMORY ERROR(F-CONDITION FILE),The force condition file is abnormal.,,Sub;force condition file number,Data error,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, initialize the appropriate data, and then load the data saved in the external memory device.",,,,(R‹ZA2)
