YRC1000,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,}•\1,}•\2,ŹÚŤ×ŕ–ľ(‹ZŹpŽŇ—p),Notes
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5022,CONVEYOR POSITION LIMIT,Correct pos is limit over (21M).,,"Correct pos is limit over (21M) at condition file.
Sub Code : Alarm occurred conveyor condition file No",Synchronization section error,"Check the synchronized move at condition file, or check parameter auto cvque dis (SxE40). Correct pos is not updated after alarm is occurred, so Synchronized move is not done, and move at correct pos at alarm is occurred. ",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5023,CONVEYOR COUNTER LIMIT,"The conveyor position counter pulse
overflow",,"Curr pos is over at condition file.
Sub Code : Alarm occurred conveyor condition file No",Setting error,"Check the POS RESOLUTION or synchronized move at condition file. Correct pos is not updated after alarm is occurred, so Synchronized move is not done, and move at correct pos at alarm is occurred. 
",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5024,SETUP ERROR(CV COND SUPP. FILE),The setting of CONVEYOR CONDITION SUPPORT FILE is not correct. ,,,Setting error,"Check the settings for LS and shift distance in the conveyor condition support file. If the same LS is used, set the same shift disance in each condition file. 

",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5070,WORK IN/NOT DATA OVER FLOW,The WORK IN/NOT shift data overflow,,,Data error,"Check the shift data and the actual workpiece status.
If any inconsistency is found, delete the shift data and prepare newly the shift data.",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5071,WORK ID. DATA OVER FLOW,WORK ID shift data overflow,,,Data error,"Check the shift data and the actual workpiece status.
If any inconsistency is found, delete the shift data and prepare newly the shift data.",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5072,START SHIFT DATA OVER FLOW,Start shift data overflow,,,Data error,"Check the shift data and the actual workpiece status.
If any inconsistency is found, delete the shift data and prepare newly the shift data.",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5073,TRACKING AREA DATA OVER FLOW,Shift section data overflow,,,Data error,"Check the tracking area data in the synchronized section and the actual workpiece status.
If any inconsistency is found, delete the shift data in the synchronized section and prepare newly the shift
data.",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5075,ENCODER STOP ERROR(CONVEYOR),"The encoder was not in suspend status
when the control power supply was
turned ON.",,,Data error,"Check the shift data and the actual workpiece status.
If any inconsistency is found, delete the shift data and prepare newly the shift data.",,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5076,TRACK AREA IN/NOT DATA POS LMT,"The WORK IN/NOT data of the first
workpiece in the synchronized section
exceeds the preset value.",,,Data error,Delete the WORK IN/NOT data in the synchronized section.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5077,TRACKING AREA ID DATA POS LMT,"The WORK ID data of the first workpiece in the synchronized section
exceeds the preset value.",,,Data error,Delete the WORK ID data in the synchronized section.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5078,CVQUE canft exec. under tracking,CVQUE exec. under tracking. ,,,Setting error,Check the JOB.,,,,Conveyor
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,Conveyor
5130,NT112B_M3 COMM ERROR,An error occurred in the MIII communication of the NT112B board.,FFFFFFFF,There are slave stations with incomplete transmission delay time calculation.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,FFFFFFFE,An error was detected with the error status of the ASIC.,Setting error,"(1)Check whether the IO size and address setting match the settings of the master PLC.
(2)Turn the power OFF then back ON.
(3)If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,,,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,FFFFFFFD,An error occurred in the SRAM read / write check.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,00001000,Invalid user parameter is set.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,00001004,Request size is over.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,00001005,Invalid HostIF pointer is set.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,00001006,RAM size is over.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,0000100B,Sequence is incorrect.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,0000100C,The setting of the slave axis number is abnormal.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,0000100D,IO map size is abnormal.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
,,,0000101E,Station number is invalid.,NT112B board failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Connection failure,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, check the connection and insertion of the following cables and connectors.
- The cable of NT112B board",,,,HWC
,,,,,Software operation error occurred,"(1)Turn the power OFF then back ON.
(2)If the alarm occurs again, replace the NT112B board. Save the CMOS.BIN before replace the board to be safe. Replace the NT112B board, and then load the CMOS.BIN saved before alarm occurred.",,,,HWC
,,,,,Other,"If the alarm occurs again, save the CMOS.BIN, and then contact your YASKAWA representative about occurrence status (operating procedure).",,,,HWC
