DX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm Number,Alarm Name/Message,Contents,Sub Code,Meaning,Cause,Remedy,Chart1,Chart2,Detail,Notes
4019,MEMORY ERROR(CUTTING COND FILE),"An error was detected at memory check.
The memory for the user coordinates file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the cutting condition file in maintenance mode, and then load the cutting condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4020,MEMORY ERROR(OPERATION ORIGIN),"An error was detected at memory check.
The memory for the work home position file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the work home position file in maintenance mode, and then load the work home position file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4021,MEMORY ERROR(CONVEYOR COND FILE),"An error was detected at memory check.
The memory for the conveyor condition file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the conveyor condition file in maintenance mode, and then load the conveyor condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4022,MEMORY ERROR(PAINT SPECIAL FILE),"An error was detected at memory check.
The memory for the paint special file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the paint special file in maintenance mode, and then load the paint special file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4023,MEMORY ERROR(PAINT COND FILE),"An error was detected at memory check.
The memory for the paint condition file is damaged.",,Sub Code: Page number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the paint condition file in maintenance mode, and then load the paint condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4024,MEMORY ERR(WRIST WEAV AMP FILE),"An error was detected at memory check.
The memory for the wrist weaving amplitude file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the wrist weaving amplitude file in maintenance mode, and then load the wrist weaving amplitude file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4025,MEMORY ERROR(INTERRUPT JOB FILE),"An error was detected at memory check.
The memory for the interrupt job file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the interrupt job file in maintenance mode, and then load the interrupt job file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4028,MEMORY ERR(SENSOR MON COND FILE),"An error was detected at memory check.
The memory for the sensor monitoring condition file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the sensor monitoring condition file in maintenance mode, and then load the sensor monitoring condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4030,MEMORY ERR(PRESS COND DATA FILE),"An error was detected at memory check.
The memory for the press condition file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the press condition file in maintenance mode, and then load the press condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4031,MEMORY ERROR(SPOT GUN COND FILE) ,"An error was detected at memory check.
The memory for the spot welding gun condition file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the gun condition file in maintenance mode, and then load the gun condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4032,MEMORY ERROR(SPOT WELDER COND),"An error was detected at memory check.
The memory for the spot welding Power Source condition file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the spot welding gun condition file in maintenance mode, and then load the spot welding gun condition file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4033,MEMORY ERROR(GUN PRESSURE FILE),"An error was detected at memory check.
The memory for the gun pressure file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the gun pressure file in maintenance mode, and then load the gun pressure file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4034,MEMORY ERR(ANTICIPATION OT FILE),"An error was detected at memory check.
The memory for the anticipation outputs (OT) file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the anticipation output (OT) file in maintenance mode, and then load the anticipation output (OT) file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4035,MEMORY ERR(ANTICIPATION OG FILE),"An error was detected at memory check.
The memory for the anticipation outputs (OG) file is damaged.",,,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the anticipation output (OG) file in maintenance mode, and then load the anticipation output (OG) file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4036,MEMORY ERROR(WEARING FILE),"An error was detected at memory check.
The memory for the wear amount file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the wear amount file in maintenance mode, and then load the wear amount file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4037,MEMORY ERROR(STROKE POSITION),"An error was detected at memory check.
The memory for the FULL/SHORT OPEN position setting file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the FULL/SHORT OPEN position setting file in maintenance mode, and then load the FULL/SHORT OPEN position setting file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4038,MEMORY ERROR(PRESSURE FILE),"An error was detected at memory check.
The memory for the dry-spotting pressure file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the dry-spotting pressure file in maintenance mode, and then load the dry-spotting pressure file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4039,MEMORY ERROR(FORM CUT FILE),"An error was detected at memory check.
The memory for the form cut file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the form cut file in maintenance mode, and then load the form cut file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4040,MEMORY ERROR(SHOCK LEVEL FILE),"An error was detected at memory check.
The memory for the shock level file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the shock level file in maintenance mode, and then load the shock level file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
4041,MEMORY ERROR(SPOT IO ALLOCTE FL),"An error was detected at memory check.
The memory for the spot I/O allocation file is damaged.",,Sub Code: File number,Data error,"(1)Reset the alarm.
(2)If the alarm occurs again, initialize the spot I/O allocation file in maintenance mode, and then load the spot I/O allocation file saved in the external memory device.",,,, SYSCON
,,,,,YCP01 board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YCP01 board. Save the CMOS.BIN before replace the board to be safe. Replace the YCP01 board, and then insert the CF card which inserted original YCP01 board into the new YCP01 board. ",,,, SYSCON
,,,,,YIF board failure,"(1)Reset the alarm.
(2)If the alarm occurs again, replace the YIF board. Save the CMOS.BIN before replace the board to be safe. Replace the YIF board, and then load the CMOS.BIN saved before alarm occurred.",,,, SYSCON
