NX100,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Alarm number,Alarm Name,Contents,Sub Code,Meaning,Cause,Remedy,1,2,3,Notes
953,CPU ERROR (AXA#4),,100,,An error was detected in the CPU of servo board #4.,,,,,
1000,ROM ERROR (NCP01),,1,,"An error occurred in the board or system software (ROM).
A checksum error occurred in the main ROM.",Replace the NCP01 board.,,,,
1001,ROM ERROR (AXA01),,1?,,"A checksum error occurred in the board or the EEPROM.
(?: axis No.)","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,20,,The SRDY signal did not turn ON after the WRITE ENABLE command was written. (EEPROM WRITE ENABLE error),,,,,
1001,ROM ERROR (AXA01),,21,,The SRDY signal did not turn ON after the WRITE PROTECT command was written. (EEPROM WRITE PROTECT error),"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,22,,The SRDY signal did not turn ON after the ERASE command was written. (EEPROM ERASE error),,,,,
,,,23,,The SRDY signal did not turn ON after the CLEAR command was written. (EEPROM CLEAR error),,,,,
,,,24,,The SRDY signal did not turn ON after data were written. (EEPROM writing error),,,,,
,,,25,,The SRDY signal did not turn ON after data were read. (EEPROM reading error),,,,,
,,,26,,The written data were rejected at verification. (EEPROM verify error),,,,,
1030,MEMORY ERROR (PARAMETER FILE),,,,An error was detected at memory check.,,,,,
,,,0,,The memory for RC parameter file is damaged.,"Initialize the appropriate parameter file in the maintenance mode, and then load the appropriate parameter file saved in the external memory device.",,,,
,,,1,,The memory for RO parameter file is damaged.,,,,,
,,,2,,The memory for SV parameter file is damaged.,,,,,
,,,3,,The memory for SVM parameter file is damaged.,,,,,
,,,4,,The memory for SC parameter file is damaged.,,,,,
,,,5,,The memory for SD parameter file is damaged.,,,,,
,,,6,,The memory for CIO parameter file is damaged.,,,,,
,,,7,,The memory for FD parameter file is damaged.,,,,,
,,,8,,The memory for AP parameter file is damaged.,,,,,
,,,9,,The memory for RS parameter file is damaged.,,,,,
,,,10,,The memory for SE parameter file is damaged.,,,,,
,,,11,,The memory for SVC parameter file is damaged.,,,,,
,,,12,,The memory for AMC parameter file is damaged.,,,,,
,,,13,,The memory for SVP parameter file is damaged.,,,,,
,,,14,,The memory for MF parameter file is damaged.,,,,,
,,,15,,The memory for SVS parameter file is damaged.,,,,,
1031,MEMORY ERROR (MOTION1),,,,The file data used by MOTION are damaged.,,,,,
,,,1,,The home position calibration file is damaged.,Initialize the damaged file in the maintenance mode.,,,,
,,,2,,The tool file is damaged.,,,,,
1031,MEMORY ERROR (MOTION1),,,,The file data used by MOTION are damaged.,,,,,
,,,3,,The user coordinates file is damaged.,Initialize the damaged file in the maintenance mode.,,,,
,,,4,,The robot calibration file is damaged.,,,,,
,,,5,,The tool calibration file is damaged.,,,,,
,,,6,,The weaving amplitude condition file is damaged.,,,,,
,,,7,,The home position correction data file is damaged.,,,,,
,,,8,,The conveyor calibration file is damaged.,,,,,
,,,9,,The arm and tool interference prevention file is damaged.,,,,,
,,,20,,The weaving file is damaged.,,,,,
,,,21,,The Power Source condition data file is damaged.,,,,,
,,,22,,The welding condition auxiliary file is damaged.,,,,,
,,,23,,The arc start condition file is damaged.,,,,,
,,,24,,The arc end condition file is damaged.,,,,,
,,,25,,The COMARC condition file is damaged.,,,,,
,,,26,,The COMARC data file is damaged.,,,,,
,,,27,,The path correction condition file is damaged.,,,,,
,,,28,,The painting characteristics file is damaged.,,,,,
,,,29,,The painting condition file is damaged.,,,,,
,,,30,,The multi-layer index file is damaged.,,,,,
,,,31,,The multi-layer condition file is damaged.,,,,,
,,,32,,The sensor monitoring condition file is damaged.,,,,,
,,,33,,The name position file is damaged.,,,,,
,,,34,,The conveyor condition file is damaged.,,,,,
,,,35,,The Press characteristics file is damaged.,,,,,
,,,36,,The servo float condition file is damaged.,,,,,
1031,MEMORY ERROR (MOTION1),,,,The file data used by MOTION are damaged.,,,,,
,,,40,,The gun pressure file is damaged.,Initialize the damaged file in the maintenance mode.,,,,
,,,41,,The dry-spotting gun pressure file is damaged.,,,,,
,,,42,,The anticipation OT# output file is damaged.,,,,,
,,,43,,The anticipation OG# output file is damaged.,,,,,
,,,44,,The handling condition file is damaged.,,,,,
,,,45,,The form cut file is damaged.,,,,,
,,,46,,The spot (user) I/O allocation file is damaged.,,,,,
,,,47,,The linear servo float condition file is damaged.,,,,,
,,,48,,The macro definition file is damaged.,,,,,
,,,49,,The seal amount correction condition file (spray) is damaged.,,,,,
,,,50,,The seal amount correction condition file (undercoating) is damaged.,,,,,
,,,51,,The arc monitor file is damaged.,,,,,
,,,52,,The motor-gun condition auxiliary file is damaged.,,,,,
,,,53,,The job registration table is damaged.,,,,,
,,,54,,The painting device condition file is damaged.,,,,,
,,,55,,The painting system file is damaged.,,,,,
,,,56,,The painting condition file is damaged.,,,,,
,,,57,,The paint characteristics file is damaged.,,,,,
,,,58,,The EVB gun file is damaged.,,,,,
,,,59,,The paint filling file is damaged.,,,,,
,,,60,,The welding pulse condition file is damaged.,,,,,
,,,61,,The clearance file is damaged.,,,,,
,,,62,,The linear scale condition file is damaged.,,,,,
,,,63,,The gauging sensor file is damaged.,,,,,
,,,64,,The conveyor condition auxiliary file is damaged.,,,,,
1050,SET-UP PROCESS ERROR (SYSCON),,1,,"An error occurred in the setup processing of the system when the control power turned ON (Setup error).
The motion instruction did not start up. (motion instruction setup incomplete.)","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1050,SET-UP PROCESS ERROR (SYSCON),,2,,"An error occurred in the setup processing of the system when the control power turned ON (Processing timeout).
The motion instruction did not start up. (Setup of the servo control circuit board and NCP02 circuit board incomplete, parameter setting value error)","Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1051,SET-UP PROCESS ERROR (MOTION),,,,An error occurred in the setup process of MOTION when the control power turned ON.,,,,,
,,,1,,The servo control section was not started up.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,The position data of when the power supply had turned OFF could not be transmitted to the servo control section.,,,,,
,,,3,,The servo control section could not receive the position data of when the power supply had turned OFF.,,,,,
,,,5,,The request to turn ON the PG power supply for the mounted axis could not be sent.,,,,,
,,,6,,The PG power supply for the mounted axis could not turn ON.,,,,,
,,,7,,The request to prepare a feedback pulse could not be sent.,,,,,
,,,8,,The feedback pulse could not be prepared.,,,,,
,,,9,,The request to initialize the arithmetic section could not be sent.,,,,,
,,,10,,The arithmetic section could not be initialized.,,,,,
,,,11,,The request to prepare the current value could not be sent.,,,,,
,,,12,,The current value could not be prepared.,,,,,
1100,SYSTEM ERROR,,,,An unknown alarm was detected because of noise or control error.,Contact your Yaskawa representative.,,,,
1101,SYSTEM ERROR (SYSTEM 1),,,,An error occurred during the system control check.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1102,SYSTEM ERROR (SYSTEM 2),,,,An error occurred during the system control check.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1103,SYSTEM ERROR (EVENT),,,,An error occurred during the system event data control check.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1104,SYSTEM ERROR (CIO),,,,"An error occurred during the system I/O control check. (I/O circuit board communications error, C I/O parameter setting value error etc.)","Check the I/O signal line connectors and cables.
Reset the I/O module in maintenance mode.
Replace the NIF circuit board, I/O contactor unit, and/or I/O module.",,,,
1105,SYSTEM ERROR (SERVO),,0,,No processing corresponds to the command code sent from MOTION.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
1105,SYSTEM ERROR (SERVO),,1,,Illegal command data (parameter) is received from MOTION.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,2,,An error occurred in the file transfer sequence at execution of motion command.,,,,,
,,,3,,The data size for the file transfer was over housing size at executing a motion command.,,,,,
,,,4,,An optional function was commanded to be executed while another optional function was in execution.,,,,,
,,,5,,The request to change standardization time was sent without permission.,,,,,
,,,6,,The motor instruction standardization time is out of the allowable range.,,,,,
,,,7,,The KP parameter input value is out of the allowable range.,,,,,
,,,8,,The KP parameter input value for two degrees of freedom control is out of the allowable range.,,,,,
,,,9,,No processing corresponds to the command code sent from MOTION.,,,,,
,,,10,,An uncontrollable axis was designated.,,,,,
,,,11,,An attempt was made to apply the brake to the motor while the power was being supplied.,,,,,
,,,12,,An attempt was made to supply power to the motor while the brake was applied to the motor.,,,,,
,,,14,,An error occurred in the encoder power supply control process.,,,,,
,,,15,,The segment clock was not the specified value.,,,,,
,,,17,,An attempt was made to turn ON the servo while the encoder was not ready.,,,,,
,,,18,,The request to turn ON the servo power supply again was sent to an axis where the servo�s power was already ON.,,,,,
,,,30,,The linear servo float does not support the robot type specified in the RC parameter at calculation for servo-float-related parameters.,Contact your Yaskawa representative.,,,,
,,,37,,The robot (B-axis) passed the singular point while the linear servo float was ON.,Correct the job so that the robot (B-axis) does not pass the singular point while the linear servo float is ON.,,,,
,,,40,,The axes for which the servo were attempted to be turned ON were not connected to the contactor.,"Check the wiring to the contactor.
If the error occurs again, contact your Yaskawa representative.",,,,
1105,SYSTEM ERROR (SERVO),,47,,The alarm number is illegal.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,60,,The axis endless function is set enabled for motor guns.,Disable the axis endless function of motor guns axis.,,,,
,,,61,,"The axis endless function is set enabled for the encoder for which this function cannot be used.
The axis endless function cannot be used for the encoders manufactured by Tamagawa Seiki Co., Ltd.",Disable the axis endless function for the encoder.,,,,
,,,63,,An error occurred while the axis endless function was being used.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,68,,The home position detecting function was used for the axis for which the axis endless function was enabled.,Disable either the axis endless function or the home position detection function.,,,,
,,,69,,The servo float function was used for the axis for which the axis endless function was enabled.,"Disable the axis endless function, or do not use the servo float function.",,,,
,,,80,,An axis number that is not for gun change was specified.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,81,,An axis number that is not for gun change was specified.,,,,,
,,,82,,The PG power supply of the axis for gun change is ON.,,,,,
,,,83,,The servo power supply of the axis for gun change is ON.,,,,,
,,,90,,The gun number allocated to the specified physical axis is different from the specified gun condition file number.,,,,,
,,,91,,The gun pressure file number is incorrect.,,,,,
,,,92,,The axis specified for gun pressure is not a gun axis.,,,,,
,,,100,,The sequence was untimely executed in the general-purpose 10ms process although it was not the execution timing.,,,,,
,,,101,,The sequence was untimely executed in the segment_G process although it was not the execution timing.,,,,,
,,,103,,The sequence was untimely executed in the general-purpose 2ms process although it was not the execution timing.,,,,,
,,,104,,The sequence was untimely executed in the general-purpose 4ms process although it was not the execution timing.,,,,,
1105,SYSTEM ERROR (SERVO),,106,,The sequence was untimely executed in the dynamics compensation process although it was not the execution timing.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,107,,The sequence was untimely executed in the servo communications CERF sending process although it was not the execution timing.,,,,,
,,,108,,The sequence was untimely executed in the servo communications CERF receiving process although it was not the execution timing.,,,,,
,,,109,,The sequence was untimely executed in the segment_R process although it was not the execution timing.,,,,,
,,,111,,The sequence was untimely executed in the segment_E process although it was not the execution timing.,,,,,
,,,112,,The sequence was untimely executed in the segment_OPT1 process although it was not the execution timing.,,,,,
,,,113,,The sequence was untimely executed in the segment_OPT2 process although it was not the execution timing.,,,,,
,,,114,,The sequence was untimely executed in the segment_OPT3 process although it was not the execution timing.,,,,,
,,,120,,A general-purpose 10ms process did not complete within the time set on the scheduling table.,,,,,
,,,121,,The segment_G process did not complete within the time set on the scheduling table.,,,,,
,,,122,,The general-purpose 4ms process did not complete within the time set on the scheduling table. (Emergency stop detected.),,,,,
,,,123,,The general-purpose 2ms process did not complete within the time set on the scheduling table.,,,,,
,,,124,,The general-purpose 4ms process did not complete within the time set on the scheduling table.,,,,,
,,,125,,The dynamics calculation process did not complete within the time set on the scheduling table.,,,,,
,,,126,,The dynamics compensation process did not complete within the time set on the scheduling table.,,,,,
1105,SYSTEM ERROR (SERVO),,128,,The dynamics calculation process did not complete within the time set on the scheduling table.,"Turn the power OFF then back ON.
If the error occurs again, contact your Yaskawa representative.",,,,
,,,129,,The CERF receiving process did not complete within the time set on the scheduling table.,,,,,
,,,130,,The segment_R process did not complete within the time set on the scheduling table.,,,,,
,,,131,,The segment_E process did not complete within the time set on the scheduling table.,,,,,
